Year, Month, Return, Assets
1998,11,0.5,502684
1998,12,4.01,524379
1999,1,-4.58,498872
1999,2,-1.51,739518
1999,3,1.3,749272
1999,4,5.09,989128
1999,5,-3.34,955100
1999,6,-1.06,944723
1999,7,-4.71,1333370
1999,8,0.82,1344590
1999,9,-0.35,1339900
1999,10,-9.29,1215130
1999,11,2.17,1242010
1999,12,-3.74,1195250
2000,1,3.5,1232600
2000,2,17.7,1459090
2000,3,-9.73,1315180
2000,4,4.45,1374320
2000,5,5.97,1458310
2000,6,-4.53,1389680
2000,7,-0.53,1381940
2000,8,3.74,1434310
2000,9,-6.98,1334210
2000,10,-1.38,1315820
2000,11,0.85,1336120
2000,12,5.37,1400070
2001,1,2.3,1430600
2001,2,5.34,1507160
2001,3,10.43,1654620
2001,4,-7.54,1537660
2001,5,1.27,1557460
2001,6,1.67,1584390
2001,7,6.23,1683110
2001,8,-1.14,1663780
2001,9,8.72,1813300
2001,10,4.88,1889770
2001,11,-5.34,1794840
2001,12,-4.24,1718420
2002,1,-1.76,1688330
2002,2,-0.34,1682630
2002,3,-3.42,1626030
2002,4,-4.48,1552910
2002,5,6.06,1647210
2002,6,-0.48,1639740
2002,7,-1.79,1610160
2002,8,9,1755070
2002,9,7.76,1891920
2002,10,-6.56,1767510
2002,11,0.82,1782040
2002,12,4.82,1867920
2003,1,8.56,2028280
2003,2,4.11,2111360
2003,3,-10.81,1882510
2003,4,-2.61,1832980
2003,5,12.11,2055950
2003,6,-7.4,1903120
2003,7,-2.73,1851160
2003,8,-1.7,1820380
2003,9,-8.16,1670800
2003,10,10.43,1845260
2003,11,-6.37,1727340
2003,12,1.94,1760610
2004,1,1.46,1786720
2004,2,12.24,2005310
2004,3,0.72,2020160
2004,4,-8.16,1854740
2004,5,-0.28,1849620
2004,6,-4.45,1767460
2004,7,3.55,1830180
2004,8,-2.39,1786460
2004,9,3.75,724149
2004,10,0.08,724889
2004,11,4.69,758794
2004,12,-2.19,742194
2005,1,-1.8,811347
2005,2,-0.35,808564
2005,3,-0.22,806981
2005,4,-4.18,890184
2005,5,1.75,905854
2005,6,2.3,926725
2005,7,-4.37,886146
2005,8,-2.81,861479
2005,9,-2.23,842288
2005,10,0.49,846577
2005,11,5.21,890611
2005,12,1.79,906310
2006,1,3.93,941551
2006,2,-4.57,899088
2006,3,13.84,1023340
2006,4,9.51,1120790
2006,5,4.3,1168970
2006,6,-6.6,1091890
2006,7,-3.56,1052860
2006,8,1.05,1064010
2006,9,-0.6,1057700
2006,10,1.6,1074600
2006,11,-0.55,1068770
2006,12,0.07,1069650
2007,1,-0.04,1069210
2007,2,-3.92,1027070
2007,3,-6.53,959725
2007,4,2.43,983555
2007,5,1.69,999829
2007,6,7.23,1072500
2007,7,-2.85,1041660
2007,8,-7.91,959034
2007,9,3.73,994930
2007,10,3.69,1030600
2007,11,0,0
2007,12,0,0
2008,1,0,0
2008,2,0,0
2008,3,0,0
2008,4,0,0
2008,5,0,0
2008,6,0,0
2008,7,0,0
2008,8,0,0
2008,9,0,0
2008,10,0,0
2008,11,0,0
2008,12,0,0
2009,1,0,0
2009,2,0,0
2009,3,0,0
2009,4,0,0
2009,5,0,0
2009,6,-1.98,1960470
2009,7,1.61,1990485
2009,8,3.66,2063460
2009,9,2.11,2107038.86
2009,10,-1.71,3048489
2009,11,6.21,3237276
2009,12,-0.77,3214963
2010,1,-3.9,3089447
2010,2,0.2,3095580.5
2010,3,6.5,3296904
2010,4,2.42,3376806
2010,5,-12.69,3892297
2010,6,3.63,4033767
2010,7,-2.7,3924802
2010,8,7.51,4219571
2010,9,4.97,4429235
2010,10,10.69,4902803
2010,11,-5.58,4629349.32
2010,12,13.06,5234752
2011,1,3.4,5411833
2011,2,0.5,5438739
2011,3,-3.18,5265628
2011,4,1.33,5335770
2011,5,-12.9,4647514
2011,6,-10.08,5105977
2011,7,5.51,5387154
2011,8,-4.37,5151615
2011,9,12.1,5775166
2011,10,-14.01,4966059
2011,11,6.5,5288858
2011,12,0.31,5305279
2012,1,-0.53,5277108
2012,2,-1.24,5211734
2012,3,-3.62,5023264
2012,4,1.45,5096015
2012,5,1.44,5169150
2012,6,-8.94,4706910
2012,7,6.9,5031879
2012,8,-5.07,4776832
2012,9,-1.88,4687149
2012,10,-4.94,4455782
2012,11,-1.16,4404121
2012,12,0.27,4415958
2013,1,0.55,4440303
2013,2,-1.69,4365167
2013,3,1.38,4425319
2013,4,2.48,4534934
2013,5,-1.26,4477743
2013,6,0.54,4501753
2013,7,-2.16,4404355
2013,8,-2.87,4277948
2013,9,0.3,4290871
2013,10,2.58,4401789
2013,11,0.98,4444819
2013,12,0.45,4464993
2014,1,-1.07,4417091
2014,2,3.58,4575354
2014,3,3.44,4732623
2014,4,2.33,4842660
2014,5,0.05,4845026
2014,6,6.99,5183547
2014,7,3.38,5358659
2014,8,3.12,5526014
2014,9,5.96,5855567
2014,10,1.57,5947558
2014,11,6.81,6352734
2014,12,4.06,6610468
2015,1,4.95,6937886
2015,2,-0.32,6915688
2015,3,3.3,7144034
2015,4,-4.4,6829699
2015,5,0.04,6832752
2015,6,-1.14,6754783
2015,7,2.07,6894524
2015,8,-1.52,6789829
2015,9,4.63,7104378
2015,10,-8.16,6524306
2015,11,4.93,6845906
2015,12,0.16,6857143
2016,1,2.09,7000652
2016,2,3.24,7227745
2016,3,-4.61,6894498
2016,4,-2.47,6724390
2016,5,-5.06,6384313
2016,6,6,6767377
2016,7,2.83,6958622
2016,8,-4.97,6613072
2016,9,6.46,7039994
2016,10,-6.45,6585574
2016,11,-0.3,6565749
2016,12,-4.05,6299593
2017,1,1.17,6373103
2017,2,-1.3,6290354
2017,3,-4.18,6027103
2017,4,3.04,6210600
2017,5,-1.56,6113732
2017,6,-0.98,6053895
2017,7,1.08,6119165
2017,8,0.94,6176859
2017,9,-5.49,5837970
2017,10,4.88,6122965
2017,11,-1.28,6044386
2017,12,3.76,6271613
2018,1,7.44,6738191
2018,2,-10.16,6053888
2018,3,-0.79,6005800
2018,4,1.08,6070891
2018,5,-1.88,5956771
2018,6,-2.49,5808161
2018,7,1.8,5912496
2018,8,6.24,6281172
2018,9,-2.42,6129029
2018,10,-8.61,5601203
2018,11,1.92,5708511
2018,12,-0.21,5696240
2019,1,-4.13,5460760.69
2019,2,1.72,5554720
2019,3,1.04,5612256
2019,4,1.84,5715713
2019,5,1.42,5796665
2019,6,-0.63,5760172
2019,7,0.79,5805737
2019,8,8.83,6318651
2019,9,-9.53,5716430
2019,10,-5.95,5376423
2019,11,0.39,5397362
2019,12,1.85,5497015
2020,1,3.27,5676550
2020,2,1.29,5749851
2020,3,3.6,5956629
2020,4,0.12,5963924
